name;type;carrier;tech;expandable;capacity;capacity_cost;marginal_cost;electricity_bus;water_in_bus;water_out_bus;capex;opex_fix;age;lifetime;carrier_cost;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;land_requirement;ghg_emissions;water_footprint;annuity
DW_coarse_bar_screen_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_intake_structure_1_out_bus;DW_coarse_bar_screen_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_cartridge_filter_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_coarse_bar_screen_1_out_bus;DW_cartridge_filter_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_simple_oxidation_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_cartridge_filter_1_out_bus;DW_simple_oxidation_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_coagulation_flocculation_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_simple_oxidation_1_out_bus;DW_coagulation_flocculation_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_slow_sand_filter_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_coagulation_flocculation_1_out_bus;DW_parallel_6_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_ceramic_filter_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_coagulation_flocculation_1_out_bus;DW_parallel_6_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_biofiltration_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_coagulation_flocculation_1_out_bus;DW_parallel_6_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_microfiltration_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_parallel_6_out_bus;DW_microfiltration_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_ultrafiltration_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_microfiltration_1_out_bus;DW_ultrafiltration_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_activated_carbon_filter_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_ultrafiltration_1_out_bus;DW_parallel_9_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_adsorption_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_ultrafiltration_1_out_bus;DW_parallel_9_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_ion_exchange_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_parallel_9_out_bus;DW_ion_exchange_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_nanofiltration_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_ion_exchange_1_out_bus;DW_nanofiltration_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_electrodialysis_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_nanofiltration_1_out_bus;DW_parallel_12_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_reverse_osmosis_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_nanofiltration_1_out_bus;DW_parallel_12_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_membrane_distillation_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_parallel_12_out_bus;DW_membrane_distillation_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_photocatalysis_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_membrane_distillation_1_out_bus;DW_parallel_14_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_ozonation_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_membrane_distillation_1_out_bus;DW_parallel_14_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_biological_denitrification_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_parallel_14_out_bus;DW_biological_denitrification_1_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_slow_sand_filter_2;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_biological_denitrification_1_out_bus;DW_parallel_16_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_ceramic_filter_2;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_biological_denitrification_1_out_bus;DW_parallel_16_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_biofiltration_2;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_biological_denitrification_1_out_bus;DW_parallel_16_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_uv_disinfection_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_parallel_16_out_bus;DW_parallel_17_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_chlorination_1;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_parallel_16_out_bus;DW_parallel_17_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
DW_activated_carbon_filter_2;water-treatment;water;water-treatment;True;0;261.0909091;;ac-elec-bus;DW_parallel_17_out_bus;DW_activated_carbon_filter_2_out_bus;100;20;0;20;0;0;0.1;0.045;0;;;;
